S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2953112.0,M/S Abirvab Steel Product,INR,"554,606.702",Finance,All the Bid documents are downloaded.,RAJENDRA KUMAR MARNDI,18-Jun-2025 12:56 PM,,BOQ Comparative Chart,Rajendra kumar Marndi,Internal,"EE, Estimator, DAO",RAJENDRA KUMAR MARNDI,30-Jul-2025 03:14 PM,finsummary_541746.pdf (350.69 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,2025_CEMWR_114056_1,EE/MDL- 01(6)/ 2025-26,"Supply, fabrication, and erection of Gate and Hoist of Bhadua Check Dam of Saraskana Block under minor Irrigation Division Mayurbhanj Baripada for the year-2024-25",Rajendra Kumar Marndi,Internal,"EE, Estimator, DAO",RAJENDRA KUMAR MARNDI,19-Jun-2025 03:37 PM,techsummary_541746.pdf (703.82 KB),30-Jul-2025,"INR 554,606.702",30.0,RAJENDRA KUMAR MARNDI,17-Oct-2025 08:20 PM,Bhadua.pdf (944.00 KB),Mechanical gate work,1,2955358,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",07-Jun-2025 12:45 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,"Supply, fabrication, and erection of Gate and Hoist of Bhadua Check Dam of Saraskana Block under minor Irrigation Division Mayurbhanj Baripada for the year-2024-25",Gate Works,Please refer Tender documents. ,NA ,"6,52,402",Mechanical Works,NA ,Tender,90.0,30.0,Bangriposi,757032.0,NA ,NA ,NA ,O/o EE Mechanical Division Laxmiposi,No ,No,O/o EE Mechanical Division Laxmiposi,Office of the Executive Engineer Mechanical Division Laxmiposi Dist-Mayurbhanj Pin-757107,1.0,ICICI BANK,02-Jun-2025 10:00 AM,10-Jun-2025 11:00 AM,02-Jun-2025 10:00 AM,09-Jun-2025 05:00 PM,NA ,NA ,02-Jun-2025 10:00 AM,09-Jun-2025 05:00 PM,"6,600",No,fixed,,Nil,Nil,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,EE/MDL- 01(6)/ 2025-26,2025_CEMWR_114056_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Res. Proof, Labour Licence, ESI Registration Certificate, and other document as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2948117,LAXMIDHRA BHUYAN,07-Jun-2025 09:26 PM,Rejected-Technical,Documents are Not Furnished as per DTC,19-Jun-2025 03:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2953112,M/S Abirvab Steel Product,09-Jun-2025 01:51 PM,Accepted-AOC,Selected by lottery,17-Oct-2025 08:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2948039,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,07-Jun-2025 05:01 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2953929,M/S Ashreebad Fabricators,08-Jun-2025 10:06 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2948008,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,07-Jun-2025 04:54 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2958083,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,09-Jun-2025 04:25 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2954979,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,06-Jun-2025 09:32 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2954995,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",06-Jun-2025 10:41 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2951948,M/s Pati Enterprises,08-Jun-2025 08:51 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2952827,M/S SAIKRUPA ENTERPRISERS (PROP.UMESH CHANDRA SWAIN),07-Jun-2025 07:48 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2955215,POOJARINI ENTERPRISERS,09-Jun-2025 03:00 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2949277,SPS INDUSTRY,07-Jun-2025 05:11 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2949297,SUSHIL KUMAR DAS,07-Jun-2025 05:20 PM,Rejected-Finance,Not selected by lottary,30-Jul-2025 03:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
