S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3165594.0,UMESHCHANDRA MUNDA,INR,"3,602,033",Finance,Techinical Report,Subhaprakash Rath,02-Jan-2026 11:45 AM,finance_557424.pdf,BOQ Comparative Chart,SP Rath,Internal,,Subhaprakash Rath,02-Jan-2026 11:49 AM,finsummary_557424.pdf (1475.27 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR - II,2025_CERWI_119917_5,Road oNline NCB No 08,SR to Nayagarh to Saradhapanka Road,SP Rath,Internal,,Subhaprakash Rath,02-Jan-2026 11:47 AM,techsummary_557424.pdf (1475.27 KB),02-Jan-2026,"INR 3,602,033",60.0,Subhaprakash Rath,02-Jan-2026 11:51 AM,Nayagarhsaradhapanka.pdf (1475.00 KB),1,3167965,AUROJWALA JENA,30-Oct-2025 04:13 PM,Rejected-Finance,Lottery,02-Jan-2026 11:49 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Registration Certificate GST PAN Affidavit and All Machiniries,"6,000",0.0,Nil,Nil,No,SR to Nayagarh to Saradhapanka Road,SR to Nayagarh to Saradhapanka Road,Please refer Tender documents. ,NA ,"42,37,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Jhumpura,758001.0,NA ,NA ,NA ,"SE RW Divn No-II, Keonjhar",No ,No,"42,370",Yes,fixed,,Nil,Nil,22-Oct-2025 01:00 PM,31-Oct-2025 11:00 AM,22-Oct-2025 01:00 PM,30-Oct-2025 05:00 PM,22-Oct-2025 01:00 PM ,29-Oct-2025 05:00 PM ,22-Oct-2025 01:00 PM,30-Oct-2025 05:00 PM,1.0,ICICI BANK,"SE RW Divn No-II, Keonjhar","SE RW Divn No-II, Keonjhar",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR - II,Road oNline NCB No 08,2025_CERWI_119917_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3166288,MANOJ KUMAR DALEI,30-Oct-2025 02:51 PM,Rejected-Finance,Lottery,02-Jan-2026 11:49 AM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3165594,UMESHCHANDRA MUNDA,29-Oct-2025 12:09 PM,Accepted-AOC,Agrt Done,02-Jan-2026 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
